#TrigId,#TrigTime,#Col,#Row,#ToA,#ToT[arb],#ToTtotal[arb],#Trig-ToA[arb],#Centroid,#cent_X,#cent_Y,#centStdev_X,#centStdev_Y,#centStdev_ToA,
1,1822443162581,154,179,1831113171456,2575,4275,8670008875,3,154.149123,179.546784,0.691204,0.542766,724,
1,1822443162581,152,153,1834788195584,200,200,12345033003,1,152.500000,153.500000,0.500000,0.500000,0,
1,1822443162581,142,176,1835369291264,125,125,12926128683,1,142.500000,176.500000,0.500000,0.500000,0,
1,1822443162581,160,169,1835383374336,200,200,12940211755,1,160.500000,169.500000,0.500000,0.500000,0,
1,1822443162581,145,180,1835825775872,275,275,13382613291,1,145.500000,180.500000,0.500000,0.500000,0,
1,1822443162581,150,153,1835982376192,175,175,13539213611,1,150.500000,153.500000,0.500000,0.500000,0,
1,1822443162581,154,162,1836096549120,200,200,13653386539,1,154.500000,162.500000,0.500000,0.500000,0,
1,1822443162581,167,178,1836683383040,125,125,14240220459,1,167.500000,178.500000,0.500000,0.500000,0,
1,1822443162581,134,172,1836712251136,200,200,14269088555,1,134.500000,172.500000,0.500000,0.500000,0,
1,1822443162581,160,160,1836748867584,25,25,14305705003,1,160.500000,160.500000,0.500000,0.500000,0,
1,1822443162581,177,168,1836799608320,350,350,14356445739,1,177.500000,168.500000,0.500000,0.500000,0,
1,1822443162581,174,160,1836910294016,150,150,14467131435,1,174.500000,160.500000,0.500000,0.500000,0,
1,1822443162581,136,152,1836962976512,75,75,14519813931,1,136.500000,152.500000,0.500000,0.500000,0,
1,1822443162581,129,149,1836973354752,125,125,14530192171,1,129.500000,149.500000,0.500000,0.500000,0,
1,1822443162581,172,159,1837068939776,350,350,14625777195,1,172.500000,159.500000,0.500000,0.500000,0,
1,1822443162581,130,146,1837093318400,175,175,14650155819,1,130.500000,146.500000,0.500000,0.500000,0,
1,1822443162581,120,162,1837094338816,200,200,14651176235,1,120.500000,162.500000,0.500000,0.500000,0,
1,1822443162581,171,150,1837198879744,275,275,14755717163,1,171.500000,150.500000,0.500000,0.500000,0,
1,1822443162581,144,174,1837231390208,50,50,14788227627,1,144.500000,174.500000,0.500000,0.500000,0,
1,1822443162581,157,190,1837235998720,25,25,14792836139,1,157.500000,190.500000,0.500000,0.500000,0,
1,1822443162581,129,198,1837275768320,175,175,14832605739,1,129.500000,198.500000,0.500000,0.500000,0,
1,1822443162581,151,142,1837333095936,150,150,14889933355,1,151.500000,142.500000,0.500000,0.500000,0,
